title,artists
Elektrohoden,Hey hey schöner Szenetyp (2009)
Moderat,Berlin (2009)
Ludovico Einaudi,Berlin Song (2009)
Culcha Candela,Berlin city girl (2011)
Modeselektor,Berlin (2011)
Mark Tarmonea,Freddy Verano Remix (2014)
Kraftklub,Ich Will Nicht Nach Berlin (2011)
R.E.M.,Überlin (2011)
"Sido, Mario Barth",Ick liebe Dir (2011)
Die Toten Hosen,Was Macht Berlin? (2012)
Shezzer 1 Eye,Walking In Berlin (2012)
Albin,Berlin (2012)
New Politics,Berlin (2013)
In Isolation,Berlin (2013)
David Bowie,Where Are We Now? (2013)[12]
Eastintya,Be Berlin (2013)
LCD Soundsystem,North American Scum
Metronomy,The Bay
Hello Saferide,Berlin (2014)
Under Pub,Berlin (2014)
AK Ausserkontrolle,Echte Berliner (2015)
Romano,Köpenick (2015)
Ufo361,Ich bin ein Berliner (2015)
Parquet Courts,Berlin got blurry (2016)
Endlich August,Das ist Berlin (2016)
Fler,Unterwegs feat. Sentino (2016)
Max Koffler,Choose your fate (2017)
Bushido,Echte Berliner feat. AK Ausserkontrolle (2017)
Die Toten Hosen - Wannsee (2017),Die Toten Hosen - Wannsee (2017)
Vidi Aquam,Breathless (2018)
Shakira,Nada (2018)
Bear's Den,Berlin (2016)
NO MORE,Berlin Soul (2021)
Eli SV - Berlin (2022),Eli SV - Berlin (2022)
BERLIN songs playlist,BERLIN songs playlist
11 Famous Songs Dedicated Entirely to Berlin,11 Famous Songs Dedicated Entirely to Berlin
12 Songs You Need To Listen To When In Berlin,12 Songs You Need To Listen To When In Berlin
10 songs dedicated to Berlin | DW | 30 September 2015,10 songs dedicated to Berlin | DW | 30 September 2015
List of Irving Berlin Songs and Music 1909–1922. Music Of Yesterday. Retrieved 2019-04-11.,List of Irving Berlin Songs and Music 1909–1922. Music Of Yesterday. Retrieved 2019-04-11.
Berlin Songs,Nuberlin.com
Berlin Song List,Berlin Song List
